team_a_name,team_a_score,team_b_name,team_b_score,winner
GoKinCobra,1334,Heffalump Rangers,-1334,GoKinCobra
reference_checkcall,-903,kaonashi,903,kaonashi
CC Star,249,Team Name,-249,CC Star
reference_random,-1039,Third Mid,1039,Third Mid
21,-124,Jigglybluff,124,Jigglybluff
Blind Plays,684,AP,-684,Blind Plays
BadBeatBot,1253,reference_random,-1253,BadBeatBot
AlphaOne,184,pls STOP we BROKE,-184,AlphaOne
kaonashi,-175,Third Mid,175,Third Mid
Army Leggy,3397,Power JEM ,-3397,Army Leggy
PokerBrots,1892,Power JEM ,-1892,PokerBrots
AlphaFish,-4782,Army Leggy,4782,Army Leggy
Icy,-1105,21,1105,21
<^-^>,-156,Diamond Dogs,156,Diamond Dogs
Blind Plays,-4253,<^-^>,4253,<^-^>
my bad,381,pkr face,-381,my bad
Icy,-1698,AlphaFish,1698,AlphaFish
21,1178,kaonashi,-1178,21
preflop all in,463,Boners '22,-463,preflop all in
CC Star,-1099,reference_lecture_2,1099,reference_lecture_2
AlphaOne,114,AlphaFish,-114,AlphaOne
<^-^>,-1341,GoKinCobra,1341,GoKinCobra
pkr face,4388,AP,-4388,pkr face
GoKinCobra,1639,PokerBrots,-1639,GoKinCobra
Bananarchist,-150,BadBeatBot,150,BadBeatBot
Diamond Dogs,-201,Daniel Negreanu,201,Daniel Negreanu
AAAKJ,251,LadyMooseLizardPhi,-251,AAAKJ
fleabitten,238,andrew's bots,-238,fleabitten
Heffalump Rangers,2173,Blind Plays,-2173,Heffalump Rangers
preflop all in,1196,PokerBrots,-1196,preflop all in
GoKinCobra,1260,TeamRocket,-1260,GoKinCobra
fleabitten,217,AAAKJ,-217,fleabitten
Queens Club,618,LadyMooseLizardPhi,-618,Queens Club
IeetChips,416,Icy,-416,IeetChips
Jeff Lynne,106,Army Leggy,-106,Jeff Lynne
BluffBot,382,Team Name,-382,BluffBot
ChocolateWarriors,-476,BadBeatBot,476,BadBeatBot
AlphaOne,618,¡WHAM!,-618,AlphaOne
¡WHAM!,114,Flush Boys,-114,¡WHAM!
Queens Club,12280,TeamRocket,-12280,Queens Club
preflop all in,1177,:),-1177,preflop all in
player1,-2696,Queens Club,2696,Queens Club
Kappa Sigma C Team,-1573,AlphaFish,1573,AlphaFish
Team Name,18,Bananarchist,-18,Team Name
Jigglybluff,441,BluffBot,-441,Jigglybluff
:),-1643,Queens Club,1643,Queens Club
reference_checkcall,-875,fleabitten,875,fleabitten
